Stone Quantities in Elevations ,,,,,,,,,,,,,,,,
Elevation,BOQ quantities (m2),Stone Finish material ,Stone Pattern ,Proposed Stone Dimensions (mm),Sheet number,Location in plans (Between Gridlines) ,"Quantity (m2)
as per dwgs","Quantity (m2)
as per dwgs/Stone type",Difference in quantities from BOQ,Offset from wall based on tender (mm),Offset from wall based on wall sections (mm),Wall Section Number,Lamellas Quantities in (LM),Stone Coping Quantities in (LM),Stone Coping width (cm),Notes
,,,C,W.600 X H.300,A-202 / A-215,X19 & X21,235,,,150,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-202 / A-215,X19 & X21,128,,,150,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-202 / A-216,X17 & X18,260,,,VARIES,475,WS5-WS6,-,-,-,
,,,C,W.600 X H.300,A-202 / A-216,X17 & X18,79,,,150,170,WS5-WS6,-,-,-,
,,,C,W.600 X H.300,A-202 / A-216,X17 & X18,53,,,150,200,WS5-WS6,-,-,,
,,,C,W.600 X H.300,A-202 / A-216,X17 & X18,88,,,775,875,WS5-WS6,-,-,-,
,,,C,W.600 X H.300,A-203 / A-222,9 & 11,90,,,200,-,NO WALL SECTION,-,-,-,
,,,C,W.600 X H.300,A-203 / A-219,17 & 22,178,178,-178,200,170,WS8-WS9,-,-,-,ST-03  CONFIRMED (RFI-AR-056 )
,62,ST-04,A,W.1000 X H.500,A-202 / A-208,65 & 66,60,60,2,150,-,NO WALL SECTION,-,-,-,-
,126,ST-05,F,W.1200 X H.600,A-202 / A-213,X25 & X28,27,98,28,150,-,NO WALL SECTION,-,-,-,
,,,F,W.1200 X H.600,A-202 / A-213,X25 & X28,71,,,400,-,NO WALL SECTION,,-,-,
,843,ST-09,C,W.600 X H.300,A-203 / A-219,23 & 25,401,637,206,200,-,NO WALL SECTION,-,-,-,
,,,G,W.800 X H.500,A-202 / A-217,R2 & R4,57,,,150,-,NO WALL SECTION,-,-,-,
,,,G,W.800 X H.500,A-202 / A-217,R2 & R4,66,,,275,-,NO WALL SECTION,-,-,-,
,,,G,W.800 X H.500,A-202 / A-217,R2 & R4,43,,,150,-,NO WALL SECTION,-,-,-,
,,,G,W.800 X H.500,A-202 / A-217,R2 & R4,55,,,280,-,NO WALL SECTION,-,-,-,
,,,G,W.800 X H.500,A-202 / A-217,R2 & R4,15,,,150,-,NO WALL SECTION,-,-,-,
,2491.4,ST-10,C,W.600 X H.300,A-202 / A-218,X7 & X9,384,1212,1279.4,150,-,NO WALL SECTION,-,-,-,-
,,,C,W.600 X H.300,A-202 / A-218,X7 & X9 TILING,59,,,150,-,-,-,-,-,Horizontal cladding
,,,-,-,A-202 / A-217,X12 & X15,170,,,275,-,NO WALL SECTION,-,-,-,-
,,,-,-,A-202 / A-217,X12 & X15,96,,,300,-,NO WALL SECTION,-,-,-,
,,,H,W.1300 X H.500,A-202 / A-209,67 & 69 ENTRANCE,370,,,150,-,NO WALL SECTION,-,-,-,
,,,H,W.1300 X H.500,A-202 / A-209,ENTRANCE TILING,133,,,150,-,-,-,-,-,Horizontal cladding
,302,ST-14,D,W.1200 X H.500,A-202 / A-208,65 & 66,101,230,72,150,-,NO WALL SECTION,-,-,-,-
,,,B,FOLLOW PATTERN ,A-202 / A-208,70 & 72,129,,,150,-,NO WALL SECTION,-,-,-,
,477,ST-15,I,FOLLOW PATTERN ,A-202 / A-216,X16 & X17,30,187,290,150,315,WS7,,,,
,,,I,FOLLOW PATTERN ,A-202 / A-215,X18 & X21,37,,,150,-,NO WALL SECTION,-,-,-,-
,,,D,W.1200 X H.500,A-202 / A-213,X25 & X28,90,,,150,-,NO WALL SECTION,-,-,-,
,,,D,W.1200 X H.500,A-202 / A-213,X25 & X28,30,,,275,-,NO WALL SECTION,-,-,-,
,685,ST-16,-,-,A-203 / A-220/222,12 & 13,30,1343,-658,-,-,-,-,-,-,STONE FINISH  CONFIRMED (RFI-AR-056 )
,,,-,-,A-203 / A-219,19 & 25,277,,,-,-,-,-,-,-,Quantities in BOQ for Tiling to be removed from cladding
,,,-,-,A-202 / A-218,X7 & X9,35,,,,,-,,,,
,,,-,-,A-202 / A-217,X12 & X15,66,,,,,-,,,,
,,,-,-,A-202 / A-216,X17 & X18,85,,,,,-,,,,
,,,-,-,A-202 / A-215,X18 & X21,144,,,,,-,,,,
,,,-,-,A-202 / A-213,X25 & X28,108,,,,,-,,,,
,,,-,-,A-202 / A-212,52 & 55,143,,,,,-,,,,
,,,-,-,A-202 / A-211,R0 & R4,152,,,,,-,,,,
,,,-,-,A-202 / A-210,R5 & R9,130,,,,,-,,,,
,,,-,-,A-202 / A-208,65 & 66,104,,,,,-,,,,
,,,-,-,A-202 / A-208,69 & 72,69,,,,,-,,,,
,0,ST-10,-,-,Refer to Lamellas Excel sheet for detailed information,,984.1,984.1,-984.1,Lamellas,-,NO WALL SECTION,757,-,-,-
Total,9903.16,Total,,,,With Terrace Tiling,10087.1,10087.1,-183.94,-,-,,757,-,-,-
,9218.16,,,,,Without Terrace Tiling,8744.1,8744.1,474.06,,,-,,,,
Grand Total With Terrace Tiling,16015.98,Grand Total With Terrace Tiling (ST-16),,,,,16660.5,,-644.52,-,-,-,885,-,-,-
Grand Total Without Terrace Tiling,15330.98,Grand Total Without Terrace Tiling,,,,,15317.5,,13.48,-,-,-,,-,-,-
,,,,,,,,,,,,,,,,
Stone Pattern Proposal Sizes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stone Pattern Type,Proposed stone Pattern,,,,,Stone Sizes (mm),,,,,,,,,,
A,,,,,,"W:1000 mm
H:500mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
B,OPTION 1 ,,,,,,,,,,,,,,,
,,,,,,FOLLOW PATTERN,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,OPTION 2,,,,,,,,,,,,,,,
,,,,,,FOLLOW PATTERN,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
C,,,,,,"W:600 mm
H:300 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
D,,,,,,"W:1200 mm
H:500 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
E,,,,,,"W:1000 mm
H:500 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
F,,,,,,"W:1200 mm
H:600 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
G,,,,,,"W:800 mm
H:500 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
H,,,,,,"W:500 mm
H:1300 mm",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
I,,,,,,FOLLOW PATTERN,,,,,,,,,,
